id,tarifa
8303,10.00
2419,10.00
2559,10.00
8346,10.00
8347,10.00
2421,10.00
29,10.00
8360,10.00
8361,10.00
8362,10.00
8394,10.00
8395,10.00
2571,10.00
8397,10.00
4590,10.00
4620,10.00
8431,10.00
2551,10.00
8484,10.00
4694,10.00
2574,10.00
8494,10.00
1973,10.00
8540,10.00
6966,10.00
8707,10.00
8725,10.00
8740,10.00
8762,10.00
8763,10.00
8779,10.00
2598,10.00
8798,10.00
8804,10.00
8819,10.00
8820,10.00
8886,10.00
8891,10.00
8983,10.00
8988,10.00
9029,10.00
9044,10.00
9052,10.00
9063,10.00
9069,10.00
9095,10.00
9102,10.00
8921,10.00
9116,10.00
9129,10.00
9161,10.00
1969,10.00
9171,10.00
9178,10.00
9179,10.00
9180,10.00
9181,10.00
9184,10.00
9264,10.00
9286,10.00
9287,10.00
9112,10.00
9306,10.00
9307,10.00
9308,10.00
9326,10.00
9327,10.00
9328,10.00
9329,10.00
79,8.00
83,8.00
2938,8.00
2946,8.00
2968,8.00
2969,8.00
2995,8.00
69,8.00
145,8.00
5011,8.00
8915,8.00
5105,8.00
5106,8.00
7822,8.00
379,8.00
384,8.00
391,8.00
69,8.00
395,8.00
407,8.00
408,8.00
409,8.00
3270,4.50
3255,4.50
3219,4.50
3269,4.50
3231,4.50
3272,4.50
3277,4.50
3283,4.50
3284,4.50
3150,4.50
3290,4.50
3291,4.50
3286,4.50
3287,4.50
3288,4.50
3289,4.50
3292,4.50
3295,8.00
3298,8.00
3299,8.00
422,8.00
3329,8.00
3011,8.00
3026,8.00
454,8.00
2506,9.50
2508,9.50
2018,9.50
2510,9.50
2511,9.50
2520,9.50
2521,9.50
2522,9.50
486,8.00
493,8.00
7822,8.00
2968,8.00
5005,8.00
3494,8.00
3495,8.00
3123,8.00
3498,8.00
3499,8.00
513,8.00
3430,4.50
3431,4.50
3456,4.50
3406,8.00
3432,8.00
506,6.50
3515,6.50
3517,4.50
3978,4.50
3518,4.50
7837,8.00
7838,8.00
3536,6.50
3538,6.50
513,6.50
3547,6.50
3536,8.00
3538,8.00
513,8.00
1356,8.00
1358,8.00
3573,4.50
3584,4.50
506,6.50
413,6.50
7851,8.00
7852,8.00
7854,8.00
7855,8.00
3151,8.00
9350,10.00
5218,8.00
